source,target,weight
AEE,PEP,0.5020568739576912
AEE,PG,0.42842547678561094
AEE,PLD,0.43969250955834077
AEE,PNW,0.811439197365457
AEE,PPL,0.8109215535803969
AEE,PSA,0.5156104020408886
AEE,REG,0.5138879747576948
AEE,ROL,0.47979038591894746
AEE,RSG,0.5582674983544598
AEE,RTX,0.4625860970526192
AEE,SBAC,0.5298918541516103
AEE,SO,0.6700279075658214
AEE,SPG,0.453203971811033
AEE,STT,0.40244055292490305
AEE,SYK,0.4306169417415738
AEE,SYY,0.4175181216902688
AEE,T,0.40586114108692833
AEE,TMUS,0.4084013816225848
AEE,TSN,0.5474104603589176
AEE,TXT,0.45029090377001435
AEE,UDR,0.5958366365330362
AEE,V,0.5190158538627941
AEE,VICI,0.5095695880430836
AEE,VRSK,0.5322965542935604
AEE,VTR,0.5203184326650361
AEE,WEC,0.8433598791408
AEE,WELL,0.6139185266877518
AEE,WM,0.5221132963579929
AEE,WRB,0.4786218533869767
AEE,WTW,0.46591695203139394
AEE,WY,0.4740616674945023
AEE,XEL,0.7176528598898556
AEP,AIG,0.41580519856561093
AEP,ALLE,0.511057604139327
AEP,AMD,-0.44901102486061323
AEP,AMGN,0.45696410739988935
AEP,AMT,0.5752751569679135
AEP,ANET,-0.49141081456180447
AEP,APH,-0.4131727341231069
AEP,ATO,0.6570263699165192
AEP,AVB,0.52891818929719
AEP,AVY,0.4417746317331617
AEP,AWK,0.7375124952188591
AEP,BALL,0.4670594770537412
AEP,BRO,0.5061473314625591
AEP,CAG,0.44020833201563686
AEP,CB,0.4106158696864754
AEP,CBOE,0.45373384777917547
AEP,CCI,0.5426598729071836
AEP,CHD,0.5173198700656779
AEP,CL,0.527626757136506
AEP,CLX,0.4335539759748778
AEP,CME,0.4051035353640816
AEP,CMS,0.7399777740862601
AEP,CNP,0.5672300000952796
AEP,CPB,0.5363514057748135
AEP,CPT,0.4787412877894986
AEP,CSGP,0.4931712579349533
AEP,CSX,0.42550980003963557
AEP,CTAS,0.5466058146304081
AEP,D,0.6851722756811641
AEP,DGX,0.4525243575495527
AEP,DOC,0.512897839008
AEP,DTE,0.6015180828391672
AEP,DUK,0.7229470203620872
AEP,ED,0.7371035655741927
AEP,EQR,0.4899651786858406
AEP,ES,0.651131218463657
AEP,ESS,0.5129681808923688
AEP,ETN,-0.4511141716733946
AEP,EVRG,0.5717606309723396
AEP,EXC,0.7226273577016148
AEP,EXR,0.46591023467849113
AEP,FCX,-0.4101761959964541
AEP,FDS,0.5244566025266895
AEP,FE,0.6438230291763809
AEP,FISV,0.4406960600506858
AEP,FRT,0.44497505918706637
AEP,GD,0.4295619882336481
AEP,GIS,0.4891464799992704
AEP,GOOG,-0.484222214630345
AEP,GOOGL,-0.48761491101376037
AEP,GPC,0.45119326997309633
AEP,HIG,0.4115974230642115
AEP,HRL,0.5783478734370359
AEP,ITW,0.4556393652838823
AEP,JKHY,0.5039026989863488
AEP,JNJ,0.4628538872914112
AEP,KHC,0.45848902188920443
AEP,KIM,0.5164858510427629
AEP,KMB,0.5330357828898694
AEP,KO,0.5366635122340863
AEP,KVUE,0.40686228955641807
AEP,LHX,0.40773554418880265
AEP,LMT,0.4554476681492821
AEP,LNT,0.6537497487946814
AEP,LOW,0.43117441793492356
AEP,MA,0.4611638658140311
AEP,MAA,0.5438940193800673
AEP,MAS,0.4417775995764411
AEP,MKC,0.4202845544980186
AEP,MMC,0.4511576113322319
AEP,MO,0.5731102475032998
AEP,NEE,0.5424022072059919
AEP,O,0.5757577450459018
AEP,OTIS,0.5423711586465775
AEP,PAYC,0.44637752627140603
AEP,PAYX,0.58530967571528
AEP,PEP,0.6071559393874209
AEP,PFE,0.4009580901450393
AEP,PG,0.4794073733206223
AEP,PNW,0.6986661838738368
AEP,POOL,0.4235374636568056
AEP,PPL,0.6478689915905026
AEP,PSA,0.4571066162896613
AEP,REG,0.44725574179556565
AEP,RMD,0.4003695721275204
AEP,ROL,0.4924482400810786
AEP,RSG,0.566045830040471
AEP,SBAC,0.6590410322169534
AEP,SJM,0.4229777750000697
AEP,SO,0.7754657768743872
AEP,SYK,0.43567161893059564
AEP,SYY,0.49770317083758
AEP,T,0.5263164534456272
AEP,TSN,0.5545759847999832
AEP,UDR,0.5187642606762143
AEP,V,0.41511487958479726
AEP,VICI,0.5022525763331144
AEP,VRSK,0.48390750059707976
AEP,VZ,0.5245430588940275
AEP,WEC,0.7839863278182193
AEP,WM,0.5128288759993589
AEP,WTW,0.516148454734492
AEP,WY,0.4453954978226175
AEP,XEL,0.5836661816480359
AEP,ZBH,0.47708336258745515
AEP,ZTS,0.5101996099142121
AES,AIG,0.4381779120324787
AES,EIX,0.496768611615151
AES,K,0.4376104535892503
AES,MCK,0.4146137287417852
AES,NEE,0.4248198892059757
AES,PCG,0.4007297765887689
AES,PPL,0.41584406288025677
AFL,AIG,0.5140187893544197
AFL,AIZ,0.6181843800306054
AFL,ALL,0.731785591534858
AFL,AMCR,0.4086838501959181
AFL,AMGN,0.44921715770177006
AFL,AMT,0.5297421084990309
AFL,ANET,-0.4217668092620154
AFL,AON,0.5238889025150615
AFL,AOS,0.4012561752107967
AFL,APH,-0.46339612582910145
AFL,ARE,0.47277807065276917
AFL,ATO,0.6074810686459646
AFL,AVB,0.6463667305318187
AFL,AVGO,-0.4822712148902225
AFL,AWK,0.4509793050874102
AFL,BDX,0.56047485507095
AFL,BMY,0.4808404571587278
AFL,BR,0.5174747421523487
AFL,BRK-B,0.6604043311557797
AFL,BRO,0.5303774971234722
AFL,CB,0.7147940111875515
AFL,CBRE,0.45192582415761057
AFL,CCI,0.47313315332489286
AFL,CEG,-0.4664059444525176
AFL,CHD,0.6759807637666514
AFL,CINF,0.587916728313437
AFL,CL,0.5840953257327925
AFL,CMS,0.4137819359885488
AFL,CNC,0.4691686220558589
AFL,COR,0.6146828938837121
AFL,CPB,0.40020748034227915
AFL,CPT,0.48531727357644916
AFL,CTAS,0.4505424066861917
AFL,D,0.43769733256220383
AFL,DGX,0.41479774799475494
AFL,DOC,0.5372921390732316
AFL,DTE,0.5148653078996877
AFL,DUK,0.4099952545618695
AFL,ED,0.5407027726712765
AFL,EFX,0.5640907178445488
AFL,EG,0.5950166815660013
AFL,ELV,0.4377974165468953
AFL,EQR,0.5708363319650903
AFL,ES,0.4248654946634651
AFL,ESS,0.4664723816010736
AFL,ETN,-0.485168276597234
AFL,EXC,0.4903647406793129
AFL,EXR,0.4029888774709425
AFL,F,0.5289005347501715
AFL,FDS,0.4483890968440588
AFL,FISV,0.44730067853350985
AFL,FITB,0.4317368124313537
AFL,FRT,0.5083625446008971
AFL,GD,0.44330550292234944
AFL,GIS,0.4372628225077679
AFL,GL,0.668270870547204
AFL,GLW,-0.42910712680242735
AFL,GPN,0.45461407088845474
AFL,HCA,0.5416913128131301
AFL,HIG,0.7938732752998053
AFL,HII,0.48905209177792464
AFL,HOLX,0.4407540330776027
AFL,HON,0.5765129164064019
AFL,IFF,0.42192446316174553
AFL,INVH,0.5415303138297727
AFL,ITW,0.45883079931205956
AFL,JNJ,0.5385518187807105
AFL,KDP,0.4729039028225602
AFL,KHC,0.40021940311442644
AFL,KIM,0.4641413401406693
AFL,KMB,0.5530635176430276
AFL,KO,0.4653634100600117
AFL,KVUE,0.424696169695444
AFL,L,0.72143589593984
AFL,LHX,0.4438223395904698
AFL,LNT,0.5372470311394343
AFL,LOW,0.41675898529648175
AFL,MA,0.583531837200138
